Rank,Feature,Mean_Abs_SHAP,Mean_SHAP,Direction
1,Cash Flow Per Share,0.8921482,-0.656701,Decreases Risk
2,Persistent EPS in the Last Four Seasons,0.84171706,-0.6097654,Decreases Risk
3,Net Value Per Share (C),0.47102883,-0.33676225,Decreases Risk
4,Net Value Per Share (B),0.42870384,-0.3281501,Decreases Risk
5,Net worth/Assets,0.42266545,-0.3448548,Decreases Risk
6,Revenue Per Share (Yuan ¥),0.40561423,-0.30571073,Decreases Risk
7,Total Asset Growth Rate,0.36797664,-0.29879296,Decreases Risk
8,Regular Net Profit Growth Rate,0.36587453,-0.2967302,Decreases Risk
9,Operating Gross Margin,0.3285624,-0.2892402,Decreases Risk
10,Liability to Equity,0.3028708,-0.22823943,Decreases Risk
11,Operating Profit Per Share (Yuan ¥),0.2847022,-0.22516303,Decreases Risk
12,Cash flow rate,0.27611,-0.22874959,Decreases Risk
13,Equity to Liability,0.27025825,-0.20195995,Decreases Risk
14,Pre-tax net Interest Rate,0.2632324,-0.1996364,Decreases Risk
15,After-tax Net Profit Growth Rate,0.2530142,-0.23347756,Decreases Risk
16,Net Value Growth Rate,0.2495638,-0.22388539,Decreases Risk
17,Interest Expense Ratio,0.24882634,-0.21184987,Decreases Risk
18,Operating Profit Rate,0.22918348,-0.1614207,Decreases Risk
19,Degree of Financial Leverage (DFL),0.22464718,-0.15096518,Decreases Risk
20,Total Asset Return Growth Rate Ratio,0.21792439,-0.16879316,Decreases Risk
21,Operating profit/Paid-in capital,0.21614206,-0.1469771,Decreases Risk
22,Current Ratio,0.20856237,-0.16744506,Decreases Risk
23,Tax rate (A),0.20490684,-0.0020049522,Decreases Risk
24,ROA(A) before interest and % after tax,0.19134058,0.071180925,Increases Risk
25,ROA(B) before interest and depreciation after tax,0.18812554,-0.15252347,Decreases Risk
26,Net Value Per Share (A),0.18043703,-0.12056712,Decreases Risk
27,Per Share Net profit before tax (Yuan ¥),0.17840585,-0.1140594,Decreases Risk
28,Non-industry income and expenditure/revenue,0.17185032,-0.11203694,Decreases Risk
29,Continuous interest rate (after tax),0.16555858,-0.08879165,Decreases Risk
30,Interest-bearing debt interest rate,0.1639503,-0.120121986,Decreases Risk
31,Borrowing dependency,0.15843254,-0.11856033,Decreases Risk
32,After-tax net Interest Rate,0.14891255,0.017548323,Increases Risk
33,ROA(C) before interest and depreciation before interest,0.14842947,-0.11802004,Decreases Risk
34,Total debt/Total net worth,0.13733801,-0.115731016,Decreases Risk
35,Operating Expense Rate,0.12868588,-0.077648975,Decreases Risk
36,Realized Sales Gross Margin,0.11861704,0.0019731962,Increases Risk
37,Research and development expense rate,0.117037386,-0.043029558,Decreases Risk
38,Debt ratio %,0.11527041,-0.09556526,Decreases Risk
39,Contingent liabilities/Net worth,0.108696066,-0.08091059,Decreases Risk
40,Interest Coverage Ratio (Interest expense to EBIT),0.10816204,-0.044217676,Decreases Risk
41,Operating Profit Growth Rate,0.106003754,-0.010403536,Decreases Risk
42,Realized Sales Gross Profit Growth Rate,0.097194016,-0.06435825,Decreases Risk
43,Continuous Net Profit Growth Rate,0.08037547,0.018547777,Increases Risk
44,Long-term fund suitability ratio (A),0.07506399,-0.044131067,Decreases Risk
45,Net Income to Stockholder's Equity,0.063433476,-0.029690037,Decreases Risk
46,Quick Ratio,0.06019261,0.01770504,Increases Risk
47,Cash Reinvestment %,0.037683163,-0.021226147,Decreases Risk
48,Net Income Flag,0.0075498056,0.0035467376,Increases Risk
